iter	Passed	Remaining
0	1	141
1	2	119
2	3	113
3	4	106
4	5	103
5	6	101
6	7	99
7	8	98
8	9	96
9	10	95
10	11	94
11	12	93
12	13	93
13	15	92
14	16	90
15	17	90
16	18	88
17	19	87
18	20	86
19	21	84
20	22	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	80	22
78	81	21
79	82	20
80	82	19
81	83	18
82	84	17
83	85	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	101	2
98	102	1
99	103	0
